"Comentario en el Código";"Variable / Expresión Vue";"Ruta exacta en MongoDB";"Valor real en MongoDB";"¿Está vacío en BD?";"Observaciones / Solución"
"<!--asignacion de fase-->";"phase.phase";"content[i].phase";"INDUCCION, ANALYSIS, PLANNING, EXECUTION, ETAPA_PRODUCTIVA";"NO";"Contiene el identificador de la fase del proyecto formativo."
"<!--asignacion de competencia-->";"comp.code, comp.name";"content[i].competencies[j].code / name";"Código (ej: 240201530) y Nombre de la competencia";"NO";"Contiene los datos extraídos del PDF del Diseño Curricular."
"<!--asignacion de resultado y actividad-->";"rap.description / act.description";"content[i].competencies[j].learningOutcomes[k].description / act.description";"RAP: Texto del resultado / Actividad: """" (vacío)";"Actividad SÍ";"El RAP viene del PDF. La actividad pedagógica debe ser formulada por el instructor."
"<!--asignacion de horas directas-->";"directHours(act)";"act.hours.direct";"0";"Vale 0";"Se actualiza cuando el instructor programa las horas de acompañamiento directo."
"<!--asignacion de dias programados-->";"act.scheduleDetails.assignedDays";"act.scheduleDetails.assignedDays";"[] (arreglo vacío)";"SÍ";"Se llena al agendar las sesiones en el calendario de planeación."
"<!--asignacion de actividad de proyecto formativo-->";"phase.projectActivity";"content[i].projectActivity";"Texto de la actividad del proyecto formativo";"NO";"Extraído del PDF del Proyecto Formativo del SENA."
"<!--asignacion de saberes de conceptos y principios-->";"comp.knowledge.conceptsAndPrinciples";"content[i].competencies[j].knowledge.conceptsAndPrinciples";"['MISIÓN, VISIÓN...', 'ELEMENTOS...']";"NO";"Arreglo con los saberes teóricos y conceptuales de la competencia."
"<!--asignacion de saberes de proceso-->";"comp.knowledge.processes";"content[i].competencies[j].knowledge.processes";"['IDENTIFICAR...', 'DESCRIBIR...']";"NO";"Arreglo con los procedimientos y habilidades prácticas."
"<!--asignacion de criterios de evaluacion-->";"rap.evaluationCriteria / comp.evaluationCriteria";"rap.evaluationCriteria ([]) / comp.evaluationCriteria (lleno)";"rap: [] / comp: ['RECONOCE...', ...]";"En RAP sí, en COMP no";"En JS [] es truthy. Se debe validar rap.evaluationCriteria?.length ? rap.evaluationCriteria : comp.evaluationCriteria."
"<!--asignacion de actividad de aprendizaje-->";"act.description";"act.description";"""" (cadena vacía)";"SÍ";"Debe ser redactada y registrada por el equipo de instructores."
"<!--asignacion de horas de trabajo independiente-->";"act.hours.independent";"act.hours.independent";"0";"Vale 0";"Se asigna según el tiempo de trabajo autónomo requerido para el aprendiz."
"<!--asignacion de descripcion de la evidencia de aprendizaje-->";"act.learningEvidences / act.evidenceDescription";"act.learningEvidences";"[] (arreglo vacío)";"SÍ";"En MongoDB se llama 'learningEvidences' (plural). Lo define el instructor."
"<!--asignacion de estrategias didacticas activas-->";"act.didacticStrategies";"act.didacticStrategies";"[] (arreglo vacío)";"SÍ";"Estrategias como ABP, estudio de casos, talleres prácticos, etc."
"<!--asignacion de ambiente de aprendizaje-->";"act.environment.type";"act.environment.type";"""" (dentro del objeto environment)";"SÍ";"En MongoDB es un objeto { type: '', materials: [] }. Se debe leer act.environment?.type."
"<!--asignacion de materiales de formacion-->";"act.environment.materials / act.trainingMaterials";"act.environment.materials";"[] (arreglo vacío)";"SÍ";"Materiales, herramientas y consumibles requeridos para la formación."
"<!--asignacion de instructor responsable-->";"act.suggestedInstructor.name";"act.suggestedInstructor.name";"Nombre del instructor (ej: Edgar Mauricio Campos)";"NO";"Viene asignado automáticamente desde la extracción del PDF del equipo ejecutor."
"<!--asignacion de observaciones-->";"act.observations";"act.observations";"""" (cadena vacía)";"SÍ";"Campo opcional para observaciones adicionales del instructor."
